x,y,action_density
0.000000000000000000e+00,0.000000000000000000e+00,7.540433291573526639e-04
1.010101010101010083e-01,0.000000000000000000e+00,9.954096827763359544e-04
2.020202020202020166e-01,0.000000000000000000e+00,1.318207455387764883e-03
3.030303030303030387e-01,0.000000000000000000e+00,1.750441123251854185e-03
4.040404040404040331e-01,0.000000000000000000e+00,2.328885065804592400e-03
5.050505050505050830e-01,0.000000000000000000e+00,3.101060473182620791e-03
6.060606060606060774e-01,0.000000000000000000e+00,4.127251044735680621e-03
7.070707070707070718e-01,0.000000000000000000e+00,5.482349993672750062e-03
8.080808080808080662e-01,0.000000000000000000e+00,7.257249584799364654e-03
9.090909090909090606e-01,0.000000000000000000e+00,9.559407340054556362e-03
1.010101010101010166e+00,0.000000000000000000e+00,1.251216527157423403e-02
1.111111111111111160e+00,0.000000000000000000e+00,1.625237853218724354e-02
1.212121212121212155e+00,0.000000000000000000e+00,2.092594727521719655e-02
1.313131313131313149e+00,0.000000000000000000e+00,2.668095740163297508e-02
1.414141414141414144e+00,0.000000000000000000e+00,3.365833243972746192e-02
1.515151515151515138e+00,0.000000000000000000e+00,4.198017862837671865e-02
1.616161616161616132e+00,0.000000000000000000e+00,5.173635139135844552e-02
1.717171717171717127e+00,0.000000000000000000e+00,6.297014933317597596e-02
1.818181818181818121e+00,0.000000000000000000e+00,7.566440084960460166e-02
1.919191919191919116e+00,0.000000000000000000e+00,8.972948626105924086e-02
2.020202020202020332e+00,0.000000000000000000e+00,1.049949703314926874e-01
2.121212121212121104e+00,0.000000000000000000e+00,1.212064505935091241e-01
2.222222222222222321e+00,0.000000000000000000e+00,1.380289224422847905e-01
2.323232323232323093e+00,0.000000000000000000e+00,1.550574219470128856e-01
2.424242424242424310e+00,0.000000000000000000e+00,1.718349710658605145e-01
2.525252525252525082e+00,0.000000000000000000e+00,1.878769965937406861e-01
2.626262626262626299e+00,0.000000000000000000e+00,2.027005347258471757e-01
2.727272727272727071e+00,0.000000000000000000e+00,2.158557948542441651e-01
2.828282828282828287e+00,0.000000000000000000e+00,2.269571617313123069e-01
2.929292929292929060e+00,0.000000000000000000e+00,2.357105598435766947e-01
3.030303030303030276e+00,0.000000000000000000e+00,2.419977195045856511e-01
3.131313131313131048e+00,0.000000000000000000e+00,2.467540664472935574e-01
3.232323232323232265e+00,0.000000000000000000e+00,2.503408770724904198e-01
3.333333333333333481e+00,0.000000000000000000e+00,2.528313981310323921e-01
3.434343434343434254e+00,0.000000000000000000e+00,2.543468447031241308e-01
3.535353535353535470e+00,0.000000000000000000e+00,2.550442516396558279e-01
3.636363636363636243e+00,0.000000000000000000e+00,2.551020548484522199e-01
3.737373737373737459e+00,0.000000000000000000e+00,2.547049349156784159e-01
3.838383838383838231e+00,0.000000000000000000e+00,2.540294516920941215e-01
3.939393939393939448e+00,0.000000000000000000e+00,2.532318111725666010e-01
4.040404040404040664e+00,0.000000000000000000e+00,2.524387740022278614e-01
4.141414141414140992e+00,0.000000000000000000e+00,2.517422945283774860e-01
4.242424242424242209e+00,0.000000000000000000e+00,2.511980333813495503e-01
4.343434343434343425e+00,0.000000000000000000e+00,2.508274737228816664e-01
4.444444444444444642e+00,0.000000000000000000e+00,2.506230370871861957e-01
